,Event 1,Event 2,Label
1797,"['He', 'forget', 'to', 'make', 'any', 'gravy']","['The', 'man', 'make', 'mashed', 'potatoes']",2
1798,"['He', 'bounce', 'toward', 'the', 'window']","['He', 'start', 'to', 'lose', 'control']",2
1799,"['He', 'pay', 'for', 'their', 'meal']","['He', 'order', 'a', 'margarita']",2
1800,"['The', 'boom', 'make', 'the', 'whole', 'house', 'shake']","['She', 'hear', 'a', 'large', 'boom']",2
1801,"['He', 'feel', 'great', 'about', 'his', 'new', 'tires']","['They', 'buy', 'four', 'new', 'tires']",2
1802,"['She', 'dance', 'the', 'night', 'away']","['She', 'go', 'with', 'her', 'friends']",2
1803,"['She', 'keep', 'talking', 'about', 'these', 'bananas']","['The', 'drugs', 'wear', 'off']",2
1804,"['She', 'buy', 'fair', 'trade', 'chocolate', 'and', 'coffee']","['She', 'decide', 'to', 'change', 'what', 'she', 'ate']",2
1805,"['Her', 'mom', 'become', 'nauseous']","['We', 'start', 'to', 'eat']",2
1806,"['He', 'fill', 'his', 'plate', '3', 'times']","['We', 'stop', 'at', 'a', 'restaurant']",2
1807,"['She', 'help', 'me', 'heal']","['I', 'bring', 'that', 'little', 'white', 'dog', 'home']",2
1808,"['She', 'end', 'up', 'loving', 'them']","['She', 'get', 'red', 'vines']",2
1809,"['We', 'walk', 'six', 'miles', 'on', 'the', 'trail']","['I', 'go', 'on', 'a', 'hike']",2
1810,"['She', 'hit', 'her', 'head', 'had', 'a', 'concussion']","['The', 'motorcycle', 'flip', 'on', 'the', 'side']",2
1811,"['They', 'instantly', 'recognize', 'the', 'quilt']","['He', 'recently', 'give', 'him', 'a', 'special', 'quilt']",2
1812,"['He', 'manage', 'to', 'hit', 'the', 'ball']","['They', 'hold', 'the', 'bat', 'with', 'strength']",2
1813,"['She', 'buy', 'her', 'plenty', 'of', 'drinks']","['They', 'go', 'to', 'the', 'bar', 'yesterday']",2
1814,"['They', 'bring', 'the', 'frog', 'home']","['He', 'decide', 'to', 'get', 'a', 'frog']",2
1815,"['He', 'try', 'to', 'blow', 'them', 'out']","['She', 'put', 'five', 'on', 'the', 'cake']",2
1816,"['She', 'survive', 'needed', 'psychiatric', 'treatment']","['She', 'slit', 'her', 'wrists']",2
1817,"['That', 'sound', 'give', 'his', 'wife', 'the', 'creeps']","['He', 'crack', 'his', 'knuckles']",2
1818,"['Water', 'get', 'into', 'her', 'mouth']","['She', 'laugh', 'in', 'the', 'water']",2
1819,"['She', 'miss', 'the', 'train']","['She', 'wake', 'up', 'as', 'early', 'as', 'possible']",2
1820,"['He', 'try', 'to', 'switch', 'on', 'the', 'TV']","['They', 'sit', 'down', 'on', 'the', 'couch']",2
1821,"['She', 'wait', 'for', 'the', 'results']","['She', 'schedule', 'an', 'appointment', 'with', 'her', 'doctor']",2
1822,"['She', 'accuse', 'him', 'of', 'stalking']","['She', 'see', 'him', 'miss', 'a', 'bus']",2
1823,"['He', 'see', 'a', 'ride', 'he', 'liked']","['The', 'boy', 'go', 'to', 'the', 'carnival']",2
1824,"['The', 'father', 'get', 'the', 'lowest', 'score']","['The', 'family', 'go', 'bowling']",2
1825,"['She', 'decide', 'on', 'jeans', 'and', 'a', 'sweater']","['They', 'plan', 'a', 'second', 'date']",2
1826,"['He', 'take', 'his', 'courses']","['Albert', 'decide', 'to', 'take', 'karate', 'classes']",2
1827,"['The', 'coffee', 'spill', 'all', 'over', 'his', 'arm']","['He', 'take', 'a', 'sip']",2
1828,"['He', 'immediately', 'express', 'his', 'disgust', 'with', 'management']","['He', 'find', 'a', 'roach', 'in', 'his', 'food']",2
1829,"['They', 'find', 'several', 'of', 'them']","['They', 'get', 'to', 'hunt', 'eggs']",2
1830,"['They', 'run', 'off', 'got', 'married']","['Their', 'relationship', 'seem', 'great']",2
1831,"['He', 'drop', 'his', 'laptop', 'with', 'the', 'repairman']","['He', 'go', 'to', 'the', 'local', 'repair', 'shop']",2
1832,"['We', 'play', 'three', 'games']","['I', 'lose', 'the', 'first', 'game']",2
1833,"['Her', 'mom', 'make', 'her', 'a', 'dress']","['Sue', 'pick', 'out', 'beautiful', 'material']",2
1834,"['He', 'check', 'them', 'hopefully']","['He', 'go', 'into', 'the', 'woods']",2
1835,"['We', 'always', 'watch', 'the', 'Electrical', 'Parade']","['We', 'go', 'to', 'Disney']",2
1836,"['He', 'realize', 'the', 'alarm', 'never', 'went', 'off']","['He', 'use', 'his', 'phone', 's', 'alarm']",2
1837,"['He', 'ask', 'to', 'play', 'them', 'a', 'song']","['He', 'find', 'a', 'celeb', 'in', 'the', 'city']",2
1838,"['She', 'start', 'walking', 'or', 'running', 'every', 'day']","['She', 'buy', 'a', 'treadmill']",2
1839,"['I', 'remember', 'her', 'bright', 'red', 'hair']","['My', 'uncle', 'bring', 'her', 'home']",2
1840,"['The', 'dentist', 'fill', 'a', 'cavity', 'for', 'her']","['She', 'see', 'a', 'new', 'dentist']",2
1841,"['A', 'person', 'walk', 'towards', 'the', 'seal']","['The', 'seal', 'come', 'onto', 'the', 'beach']",2
1842,"['I', 'never', 'go', 'fishing', 'as', 'a', 'child']","['We', 'live', 'in', 'the', 'city']",2
1843,"['The', 'specialist', 'begin', 'to', 'install', 'the', 'eyelashes']","['They', 'go', 'to', 'the', 'salon']",2
1844,"['They', 'hold', 'a', 'dance']","['They', 'go', 'to', 'a', 'picture', 'party']",2
1845,"['He', 'pick', 'one', 'at', 'random']","['People', 'behind', 'him', 'start', 'to', 'fidget']",2
1846,"['They', 'send', 'him', 'pictures']","['They', 'see', 'the', 'Grand', 'Canyon']",2
1847,"['She', 'realize', 'they', 'were', 'bats']","['She', 'wonder', 'what', 'birds', 'flew', 'at', 'night']",2
1848,"['He', 'find', 'the', 'pair', 'for', 'him']","['They', 'decide', 'to', 'stop', 'by', 'the', 'store']",2
1849,"['I', 'win', 'two', 'games', 'in', 'a', 'row']","['I', 'win', 'tied', 'the', 'first', 'game']",2
1850,"['She', 'drive', 'down', 'the', 'highway', 'drunk']","['She', 'leave', 'to', 'get', 'in', 'her', 'car']",2
1851,"['They', 'eventually', 'decide', 'on', 'Montreal']","['They', 'google', 'ideas', 'and', 'suggestions']",2
1852,"['A', 'friend', 'of', 'mine', 'recruit', 'me']","['I', 'work', 'for', 'the', 'MBTA']",2
1853,"['She', 'twirl', 'the', 'dress', 'around']","['She', 'put', 'on', 'her', 'summer', 'dress']",2
1854,"['She', 'feel', 'very', 'satisfied']","['She', 'clean', 'up', 'the', 'dishes']",2
1855,"['I', 'sleep', 'with', 'the', 'other', 'one']","['I', 'win', 'two', 'stuffed', 'animals']",2
1856,"['They', 'go', 'back', 'home']","['He', 'buy', 'a', 'lottery', 'ticket']",2
1857,"['I', 'pick', 'out', 'a', 'nice', 'blue', 'suit']","['The', 'salesman', 'take', 'my', 'measurements']",2
1858,"['He', 'drive', 'back', 'to', 'his', 'house']","['He', 'pay', 'for', 'his', 'groceries']",2
1859,"['Her', 'friend', 'join', 'her']","['She', 'decide', 'she', 'wanted', 'to', 'go']",2
1860,"['He', 'threaten', 'to', 'move', 'away']","['We', 'get', 'into', 'a', 'fight']",2
1861,"['They', 'all', 'celebrate', 'prepared', 'for', 'the', 'election']","['The', 'delegates', 'gather', 'at', 'the', 'convention']",2
1862,"['They', 'even', 'let', 'him', 'touch', 'the', 'fossils']","['He', 'decide', 'to', 'visit', 'his', 'local', 'museum']",2
1863,"['The', 'dog', 'run', 'away']","['His', 'dog', 'pull', 'on', 'the', 'leash']",2
1864,"['He', 'promise', 'they', 'd', 'help', 'him', 'move']","['They', 'apply', 'to', 'college', 'in', 'another', 'state']",2
1865,"['They', 'find', 'them', 'cute', 'and', 'lovable']","['Her', 'mom', 'announce', 'she', 'was', 'getting', 'sisters']",2
1866,"['He', 'make', 'himself', 'at', 'home']","['She', 'decide', 'to', 'keep', 'him']",2
1867,"['They', 'gather', 'at', '2AM']","['He', 'join', 'a', 'local', 'street', 'racing', 'group']",2
1868,"['Its', 'content', 'pour', 'on', 'the', 'pavement']","['She', 'reach', 'for', 'her', 'bag']",2
1869,"['He', 'go', 'to', 'the', 'doctor', 'for', 'medication']","['He', 'realize', 'he', 'had', 'a', 'seizure']",2
1870,"['They', 'try', 'a', 'jump', 'roping', 'class']","['He', 'suggest', 'he', 'try', 'jump', 'roping']",2
1871,"['They', 'shut', 'the', 'locker']","['He', 'change', 'his', 'clothes']",2
1872,"['He', 'never', 'win', 'the', 'state', 'nationals']","['He', 'spot', 'a', 'gifted', 'child', 'in', 'soccer']",2
1873,"['They', 'become', 'much', 'healthier', 'and', 'happier']","['They', 'work', 'very', 'hard']",2
1874,"['I', 'buy', 'some', 'aloe', 'gel']","['I', 'get', 'a', 'sunburn']",2
1875,"['She', 'search', 'through', 'the', 'dump', 'for', 'hours']","['A', 'maid', 'clean', 'up', 'her', 'hotel']",2
1876,"['This', 'cause', 'the', 'fight', 'to', 'get', 'worse']","['She', 'keep', 'texting', 'him', 'throughout', 'the', 'day']",2
1877,"['He', 'curse', 'to', 'quietly', 'to', 'himself']","['He', 'vomit', 'on', 'the', 'ground']",2
1878,"['He', 'yell', 'for', 'order']","['The', 'man', 'stand', 'in', 'the', 'hall']",2
1879,"['He', 'lose', 'his', 'cat', 'that', 'day']","['The', 'car', 'hit', 'the', 'cat']",2
1880,"['He', 'never', 'tell', 'his', 'friends']","['They', 'go', 'hunting', 'every', 'year']",2
1881,"['She', 'peer', 'at', 'one', 'through', 'the', 'glass']","['She', 'find', 'where', 'the', 'snakes', 'were', 'kept']",2
1882,"['They', 'name', 'the', 'new', 'mule', 'Derby']","['One', 'of', 'his', 'mules', 'go', 'into', 'labor']",2
1883,"['We', 'invite', 'her', 'into', 'our', 'apartment']","['Charlotte', 'live', 'in', 'the', 'same', 'building']",2
1884,"['They', 'start', 'playing', 'together', 'had', 'fun']","['A', 'new', 'student', 'come', 'to', 'the', 'school']",2
1885,"['Her', 'face', 'look', 'different', 'to', 'her', 'friends']","['She', 'take', 'the', 'makeup', 'off']",2
1886,"['The', 'man', 'disagree', 'with', 'the', 'suggestions']","['His', 'team', 'suggest', 'some', 'changes']",2
1887,"['They', 'run', 'off', 'as', 'quickly']","['I', 'pull', 'out', 'my', 'gun']",2
1888,"['She', 'eat', 'a', 'nice', 'snack']","['She', 'follow', 'the', 'map', 'to', 'the', 'spot']",2
1889,"['They', 'bring', 'him', 'the', 'spicy', 'chicken']","['They', 'complain', 'to', 'the', 'manager']",2
1890,"['They', 'win', 'the', 'competition']","['They', 'work', 'for', 'three', 'days']",2
1891,"['He', 'go', 'back', 'to', 'his', 'normal', 'diet']","['He', 'feel', 'himself', 'getting', 'sick', 'and', 'weak']",2
1892,"['Our', 'class', 'win', 'the', 'pizza', 'party']","['We', 'sell', 'the', 'most', 'during', 'our', 'fundraiser']",2
1893,"['The', 'clerk', 'order', 'the', 'part', 'for', 'Chad']","['He', 'go', 'to', 'the', 'parts', 'store']",2
1894,"['They', 'try', 'to', 'take', 'Laurie', 's', 'money']","['Laurice', 'make', 'a', 'lot', 'of', 'money']",2
1895,"['He', 'finally', 'find', 'him']","['He', 'try', 'to', 'find', 'him', 'very', 'hard']",2
1896,"['I', 'decide', 'to', 'never', 'crack', 'my', 'knuckles']","['I', 'injure', 'my', 'hand', 'cracking', 'my', 'knuckles']",2
1897,"['This', 'show', 'his', 'dominance']","['The', 'gorilla', 'swing', 'through', 'the', 'trees']",2
1898,"['The', 'pen', 'explode', 'in', 'his', 'mouth']","['He', 'chew', 'on', 'his', 'pen']",2
1899,"['The', 'entire', 'family', 'decide', 'to', 'work', 'together']","['They', 'all', 'work', 'side', 'jobs']",2
1900,"['They', 'file', 'a', 'report', 'with', 'the', 'police']","['He', 'wake', 'up', 'to', 'his', 'car', 'alarm']",2
1901,"['He', 'scream', 'out', 'in', 'pain']","['He', 'hit', 'his', 'head']",2
1902,"['Her', 'child', 'get', 'very', 'sick']","['Her', 'child', 'go', 'to', 'school']",2
1903,"['The', 'sound', 'startle', 'Amber']","['Her', 'friend', 'open', 'the', 'door']",2
1904,"['We', 'get', 'the', 'book', 'finally']","['She', 'call', 'a', 'nearby', 'store']",2
1905,"['She', 'become', 'really', 'scared']","['She', 'start', 'to', 'get', 'on', 'the', 'horse']",2
1906,"['Her', 'husband', 'feel', 'warm']","['The', 'woman', 'turn', 'up', 'the', 'heat']",2
1907,"['I', 'look', 'all', 'over']","['I', 'hear', 'a', 'loud', 'crash']",2
1908,"['She', 'franchise', 'the', 'concept']","['She', 'start', 'her', 'own', 'business']",2
1909,"['He', 'enter', 'a', 'bike', 'riding', 'race']","['He', 'practice', 'everyday', 'riding', 'his', 'bike']",2
1910,"['They', 'play', 'a', 'game', 'for', 'money']","['His', 'friend', 'offer', 'a', 'bet']",2
1911,"['Many', 'companies', 'require', 'them']","['The', 'cards', 'improve', 'employability']",2
1912,"['He', 'never', 'let', 'anyone', 'borrow', 'his', 'things']","['His', 'uncle', 'break', 'his', 'minibike']",2
1913,"['He', 'run', 'for', 'his', 'life']","['The', 'bear', 'charge', 'Dudley']",2
1914,"['He', 'cook', 'up', 'burgers', 'and', 'hot', 'dogs']","['They', 'throw', 'a', 'summer', 'party']",2
1915,"['He', 'end', 'up', 'feeling', 'really', 'nauseous']","['His', 'class', 'go', 'whale', 'watching']",2
1916,"['She', 'only', 'eat', 'healthy', 'food']","['The', 'model', 'work', 'very', 'hard']",2
1917,"['I', 'pay', 'with', 'my', 'credit', 'card']","['The', 'person', 'who', 'answered', 'demand', '100']",2
1918,"['He', 'sneak', 'out', 'to', 'smoke', 'one', 'night']","['His', 'parents', 'go', 'to', 'bed']",2
1919,"['They', 'complain', 'was', 'ignored']","['He', 'call', 'the', 'company']",2
1920,"['He', 'usually', 'avoid', 'the', 'beach']","['He', 'burn', 'so', 'easily']",2
1921,"['I', 'notice', 'two', 'familiar', 'people']","['I', 'come', 'on', 'campus']",2
1922,"['He', 'silently', 'thank', 'his', 'mom']","['He', 'see', 'how', 'well', 'prepared', 'he', 'was']",2
1923,"['They', 'continue', 'to', 'practice', 'diligently']","['Her', 'older', 'brother', 'play', 'violin']",2
1924,"['They', 'enjoy', 'the', 'sunset']","['They', 'take', 'a', 'swim', 'in', 'the', 'ocean']",2
1925,"['She', 'embezzle', 'from', 'her', 'employer']","['She', 'walk', 'into', 'work', 'on', 'Monday']",2
1926,"['An', 'older', 'sister', 'watch', 'them']","['Their', 'mother', 'T', 'work']",2
1927,"['The', 'employees', 'stare', 'at', 'me', 'weirdly']","['I', 'go', 'to', 'pick', 'up', 'the', 'food']",2
1928,"['They', 'all', 'start', 'playing']","['The', 'neighbors', 'decide', 'to', 'get', 'together']",2
1929,"['A', 'loud', 'bark', 'echo', 'through', 'her', 'room']","['She', 'lay', 'down', 'in', 'bed']",2
1930,"['She', 'walk', 'to', 'the', 'pond']","['Mary', 'go', 'to', 'the', 'park']",2
1931,"['He', 'turn', 'around', 'immediately']","['They', 'hear', 'a', 'noise']",2
1932,"['He', 'sit', 'at', 'his', 'seat']","['The', 'man', 'set', 'dinner', 'on', 'the', 'table']",2
1933,"['We', 'treat', 'him', 'out', 'to', 'dinner', 'afterward']","['He', 'get', 'his', 'diploma']",2
1934,"['They', 'try', 'to', 'run', 'away']","['Their', 'neighbor', 'come', 'over']",2
1935,"['An', 'old', 'vase', 'catch', 'his', 'eye']","['They', 'stroll', 'casually', 'through', 'the', 'antique', 'shop']",2
1936,"['Ronda', 'run', 'to', 'her', 'car']","['She', 'go', 'to', 'leave']",2
1937,"['She', 'unload', 'her', 'groceries']","['Mira', 'go', 'grocery', 'shopping']",2
1938,"['The', 'helmet', 'feel', 'tight']","['The', 'man', 'put', 'on', 'the', 'helmet']",2
1939,"['She', 'forget', 'to', 'bring', 'her', 'toothbrush']","['She', 'go', 'out', 'with', 'her', 'family']",2
1940,"['He', 'agree', 'to', 'go']","['They', 'tease', 'him', 'mercilessly']",2
1941,"['The', 'foot', 'rest', 'go', 'out']","['I', 'push', 'down', 'on', 'the', 'chair']",2
1942,"['She', 'start', 'talking', 'to', 'herself']","['She', 'ignore', 'the', 'boy']",2
1943,"['They', 'jump', 'from', 'the', 'roof']","['They', 'tell', 'all', 'the', 'friends', 'to', 'come']",2
1944,"['They', 'bring', 'Randy', 'the', 'wrong', 'order']","['He', 'ask', 'his', 'hotel', 'for', 'room', 'service']",2
1945,"['He', 'open', 'up', 'a', 'pawn', 'shop']","['He', 'decide', 'to', 'open', 'a', 'new', 'shop']",2
1946,"['She', 'bite', 'into', 'the', 'steak']","['He', 'cook', 'them', 'both', 'steak', 'and', 'potatoes']",2
1947,"['They', 'eat', '5', 'plates', 'of', 'food']","['They', 'go', 'to', 'an', 'Indian', 'buffet']",2
1948,"['They', 'end', 'up', 'with', 'a', 'black', 'eye']","['She', 'fall', 'flat', 'on', 'her', 'face']",2
1949,"['He', 'look', 'under', 'him']","['He', 'hear', 'a', 'crack']",2
1950,"['Chase', 'use', 'the', 'laptop', 'every', 'day', 'now']","['Chase', 'receive', 'the', 'laptop', 'for', 'his', 'birthday']",2
1951,"['The', 'van', 'go', 'flying', 'in', 'a', 'ditch']","['They', 'lose', 'control', 'of', 'the', 'Van']",2
1952,"['The', 'producer', 'give', 'the', 'band', 'a', 'trophy']","['The', 'band', 'make', 'a', 'record']",2
1953,"['He', 'wear', 'them', 'to', 'work']","['They', 'buy', 'new', 'underwear']",2
1954,"['He', 'receive', 'his', 'results']","['He', 'try', 'to', 'finish', 'before', 'everyone']",2
1955,"['He', 'invest', 'the', 'money']","['The', 'man', 'inherit', 'some', 'money']",2
1956,"['He', 'pack', 'up', 'all', 'his', 'dirty', 'laundry']","['He', 'discover', 'his', 'washing', 'machine', 'had', 'broken']",2
1957,"['He', 'wake', 'up', 'very', 'sick', 'today']","['He', 'drink', 'forty', 'beers', 'in', '2', 'days']",2
1958,"['I', 'yell', 'for', 'help']","['The', 'saw', 'cut', 'my', 'arm']",2
1959,"['They', 'go', 'out', 'on', 'the', 'boat']","['They', 'decide', 'to', 'go', 'a', 'week', 'before']",2
1960,"['They', 'go', 'to', 'the', 'pet', 'store']","['Nicole', 'decide', 'to', 'get', 'a', 'snake']",2
1961,"['The', 'waiter', 'recommend', 'the', 'pasta']","['She', 'go', 'to', 'a', 'pizza', 'restaurant']",2
1962,"['Some', 'dirt', 'fly', 'up', 'from', 'his', 'tire']","['The', 'man', 'ride', 'downhill', 'on', 'his', 'bike']",2
1963,"['The', 'couple', 'go', 'searching', 'for', 'berries']","['They', 'hear', 'noises', 'from', 'their', 'spot']",2
1964,"['His', 'friends', 'arrive', 'within', 'an', 'hour']","['He', 'summon', 'his', 'friends']",2
1965,"['He', 'fail', 'the', 'class']","['The', 'man', 'miss', 'some', 'class']",2
1966,"['She', 'come', 'in', 'second', 'place']","['She', 'go', 'to', 'her', 'state', 'finals']",2
1967,"['A', 'show', 'give', 'him', 'an', 'idea']","['He', 'sit', 'at', 'home']",2
1968,"['He', 'mess', 'up', 'a', 'few', 'times']","['He', 'play', 'the', 'guitar']",2
1969,"['He', 'finally', 'heal', 'his', 'knee']","['They', 'go', 'to', 'therapy']",2
1970,"['He', 'get', 'a', 'bad', 'stomachache']","['He', 'eat', 'all', 'his', 'sweets', 'and', 'chocolates']",2
1971,"['They', 'finally', 'decide', 'to', 'get', 'engaged']","['They', 'date', 'for', 'four', 'years']",2
1972,"['She', 'ground', 'him', 'for', 'a', 'month']","['She', 'finally', 'find', 'him']",2
1973,"['He', 'suddenly', 'feel', 'a', 'slight', 'pop']","['He', 'feel', 'a', 'pull', 'on', 'his', 'line']",2
1974,"['They', 'chug', 'the', 'energy', 'drink']","['They', 'stop', 'for', 'an', 'energy', 'drink']",2
1975,"['He', 'feel', 'his', 'ankle', 'break']","['He', 'take', 'a', 'wrong', 'step']",2
1976,"['A', 'cop', 'stop', 'him']","['The', 'man', 'drive', 'fast']",2
1977,"['He', 'go', 'fishing', 'in', 'the', 'swamp']","['They', 'go', 'on', 'a', 'fishing', 'trip']",2
1978,"['She', 'turn', 'the', 'lights', 'down', 'low']","['He', 'pour', 'a', 'glass', 'of', 'wine']",2
1979,"['His', 'boss', 'commend', 'Herbert', 'on', 'the', 'input']","['They', 'become', 'more', 'involved', 'in', 'meetings']",2
1980,"['He', 'regret', 'cancelling', 'his', 'gym', 'membership']","['They', 'begin', 'to', 'gain', 'weight']",2
1981,"['We', 'lay', 'out', 'all', 'the', 'ingredients']","['We', 'decide', 'to', 'have', 'a', 'pizza', 'party']",2
1982,"['They', 'purchase', 'all', 'the', 'necessary', 'equipment']","['They', 'recently', 'decide', 'to', 'challenge', 'herself']",2
1983,"['He', 'hear', 'nothing', 'back']","['An', 'agent', 'call', 'him']",2
1984,"['They', 'look', 'just', 'as', 'good']","['She', 'look', 'in', 'the', 'mirror']",2
1985,"['He', 'buy', 'some', 'tanning', 'time']","['The', 'man', 'go', 'to', 'the', 'tanning', 'salon']",2
1986,"['They', 'approach', 'the', 'front']","['They', 'continue', 'to', 'move', 'slowly']",2
1987,"['He', 'choose', 'the', 'ford', 'mustang']","['He', 'decide', 'to', 'head', 'to', 'the', 'dealership']",2
1988,"['The', 'man', 'sit', 'down', 'with', 'her']","['The', 'woman', 'feel', 'sick']",2
1989,"['None', 'appeal', 'to', 'him']","['He', 'try', 'a', 'few', 'samples']",2
1990,"['He', 'crush', 'the', 'ball', 'with', 'his', 'racket']","['The', 'first', 'player', 'eye', 'up', 'his', 'shot']",2
1991,"['He', 'soon', 'become', 'hot']","['The', 'man', 'put', 'on', 'his', 'jacket']",2
1992,"['He', 'put', 'an', 'ad', 'in', 'the', 'paper']","['They', 'decide', 'to', 'become', 'a', 'computer', 'technician']",2
1993,"['Ani', 'hear', 'the', 'alarm']","['The', 'smoke', 'alarm', 'go', 'off']",2
1994,"['Ellen', 'wish', 'she', 'never', 'had', 'to', 'leave']","['She', 'smell', 'the', 'salt', 'air']",2
1995,"['He', 'cross', 'them', 'off', 'the', 'list']","['The', 'man', 'make', 'a', 'list']",2
1996,"['He', 'take', 'a', 'nap']","['He', 'decide', 'to', 'lay', 'down']",2
1997,"['My', 'boss', 'call', 'me']","['I', 'walk', 'out', 'of', 'my', 'office']",2
1998,"['His', 'date', 'show', 'up', 'to', 'the', 'restaurant']","['They', 'go', 'to', 'the', 'restaurant']",2
1999,"['She', 'owe', 'more', 'money']","['They', 'get', 'into', 'a', 'car', 'accident', 'today']",2
2000,"['She', 'sneak', 'into', 'her', 'purse']","['She', 'go', 'across', 'the', 'street']",2
2001,"['The', 'nest', 'contain', 'many', 'speckled', 'eggs']","['They', 'find', 'a', 'bird', 's', 'nest']",2
2002,"['She', 'find', 'one', 'she', 'loved']","['She', 'try', 'on', 'several', 'jackets']",2
2003,"['She', 'get', 'all', 'the', 'supplies']","['Her', 'garden', 'bear', 'tons', 'of', 'fruit']",2
2004,"['He', 'feel', 'energetic', 'and', 'lively']","['He', 'finish', 'with', 'a', 'new', 'personal', 'record']",2
2005,"['He', 'end', 'up', 'winning', 'first', 'place']","['He', 'enter', 'a', 'competition', 'in', 'Chicago']",2
2006,"['They', 'win', 'the', 'game', 'by', '12', 'points']","['She', 'play', 'harder', 'than', 'everyone']",2
2007,"['She', 'spend', 'the', 'entire', 'summer', 'practicing']","['She', 'enrol', 'in', 'a', 'summer', 'tennis', 'program']",2
2008,"['Nothing', 'really', 'seem', 'to']","['He', 'try', 'different', 'things', 'to', 'help']",2
2009,"['Gage', 'skin', 'his', 'knee']","['He', 'fall', 'off', 'of', 'his', 'bike']",2
2010,"['He', 'crash', 'his', 'car', 'into', 'a', 'tree']","['They', 'fall', 'asleep', 'at', 'the', 'wheel']",2
2011,"['They', 'follow', 'the', 'tip']","['The', 'cops', 'get', 'a', 'tip']",2
2012,"['They', 'eventually', 'start', 'wearing', 'deodorant']","['Someone', 'leave', 'an', 'anonymous', 'note']",2
2013,"['She', 'leave', 'her', 'book', 'on', 'the', 'table']","['She', 'sit', 'at', 'a', 'table']",2
2014,"['She', 'make', 'him', 'quit']","['He', 'get', 'an', 'injury']",2
2015,"['They', 'break', 'the', 'record']","['They', 'train', 'every', 'day', 'for', 'six', 'months']",2
2016,"['I', 'ask', 'her', 'for', 'the', 'recipe']","['I', 'go', 'to', 'Laura', 's', 'house']",2
2017,"['She', 'pull', 'into', 'the', 'parking', 'lot']","['They', 'find', 'a', 'parking', 'spot']",2
2018,"['She', 'skillfully', 'cover', 'the', 'blemish']","['She', 'grab', 'her', 'makeup']",2
2019,"['The', 'judge', 'give', 'him', 'a', 'stiff', 'sentence']","['He', 'regret', 'the', 'crimes', 'he', 'had', 'committed']",2
2020,"['They', 'run', 'back', 'out']","['They', 'sneak', 'up', 'quietly']",2
2021,"['They', 'file', 'a', 'noise', 'complaint']","['They', 'start', 'dancing', 'to', 'the', 'music']",2
2022,"['He', 'make', 'the', 'shot']","['He', 'grab', 'a', 'basketball']",2
2023,"['This', 'unfortunately', 'make', 'her', 'have', 'low', 'numbers']","['The', 'people', 'see', 'this']",2
2024,"['They', 'wait', 'for', 'the', 'coffee', 'to', 'brew']","['The', 'water', 'heat', 'up', 'in', 'the', 'tank']",2
2025,"['They', 'look', 'all', 'over', 'for', 'hours']","['Her', 'dog', 'get', 'loose']",2
2026,"['They', 'get', 'to', 'work', 'late', 'that', 'day']","['He', 'miss', 'his', 'bus']",2
2027,"['A', 'woman', 'wake', 'him', 'up']","['The', 'man', 'pass', 'out']",2
2028,"['He', 'go', 'to', 'a', 'traditional', 'clothing', 'shop']","['The', 'man', 'go', 'to', 'Germany']",2
2029,"['He', 'complete', 'his', 'letter']","['They', 'later', 'regret', 'giving', 'up']",2
2030,"['The', 'owner', 'let', 'the', 'cat', 'out']","['The', 'cat', 'meow', 'at', 'the', 'door']",2
2031,"['He', 'hit', 'the', 'ball']","['He', 'line', 'up', 'his', 'shot']",2
2032,"['I', 'decide', 'to', 'stay']","['I', 'quickly', 'fall', 'in', 'love', 'with', 'Mae']",2
2033,"['I', 'walk', 'to', 'the', 'kitchen']","['I', 'get', 'out', 'of', 'bed']",2
2034,"['She', 'adopt', 'a', 'sweet', 'puppy']","['They', 'go', 'to', 'the', 'animal', 'shelter']",2
2035,"['The', 'boat', 'constantly', 'rock', 'back', 'and', 'forth']","['They', 'notice', 'a', 'bad', 'storm', 'approaching']",2
2036,"['He', 'honk', 'his', 'car', 'impatiently']","['He', 'see', 'a', 'pedestrian', 'walking', 'past', 'him']",2
2037,"['He', 'go', 'to', 'the', 'station']","['The', 'man', 'win', 'a', 'contest']",2
2038,"['He', 'feel', 'very', 'lonely', 'there']","['They', 'move', 'to', 'a', 'new', 'city']",2
2039,"['She', 'drink', 'an', 'entire', 'bowl', 'of', 'water']","['My', 'dog', 'come', 'in', 'panting', 'very', 'hard']",2
2040,"['His', 'boss', 'fire', 'him']","['He', 'finally', 'get', 'to', 'work']",2
2041,"['He', 'earn', 'more', 'money']","['He', 'draw', 'large', 'crowds']",2
2042,"['A', 'stray', 'cat', 'find', 'the', 'cupcakes']","['She', 'leave', 'her', 'cupcakes', 'on', 'the', 'windowsill']",2
2043,"['They', 'try', 'to', 'back', 'away']","['He', 'start', 'getting', 'rough']",2
2044,"['The', 'concierge', 'come', 'up', 'to', 'the', 'driver']","['A', 'furniture', 'truck', 'drive', 'up', 'today']",2
2045,"['She', 'incorporate', 'events', 'of', 'the', 'previous', 'night']","['She', 'go', 'back', 'to', 'her', 'novel']",2
2046,"['He', 'tell', 'her', 'that', 'he', 'had', 'allergies']","['He', 'wake', 'up', 'this', 'morning']",2
2047,"['The', 'baby', 'drink', 'the', 'formula', 'without', 'crying']","['The', 'baby', 'cry', 'all', 'day', 'and', 'night']",2
